run_id,experiment_name,model_name,validation_mode,include_time_trend,add_cyclical,drop_original_cyclical,add_interactions,add_address_engineering,categorical_encoding,numeric_strategy,geo_mode,n_geo_clusters,numeric_bins,sparse_output,random_state,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,training_seconds,log_loss,accuracy,top_3_accuracy,macro_f1,logistic_c,logistic_max_iter,logistic_tol,logistic_solver,logistic_l1_ratio,logistic_class_weight,model_iterations,forest_n_estimators,forest_criterion,forest_max_depth,forest_min_samples_split,forest_min_samples_leaf,forest_max_features,forest_bootstrap,forest_class_weight,forest_n_jobs,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_min_child_weight,xgb_reg_alpha,xgb_reg_lambda,xgb_gamma
dummy_class_prior__20260714T203621Z,dummy_class_prior,dummy,temporal_cv,False,False,False,False,False,onehot,passthrough,none,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,0.7852760420064442,2.706870870084931,0.1964004263048079,0.4607544394241883,0.0086399706277978,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_01_raw_baseline__20260714T205140Z,logistic_01_raw_baseline,logistic,temporal_cv,True,False,False,False,False,onehot,standard,raw,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,270.3646896669961,2.444735093295005,0.2699380056740569,0.5164292469115418,0.0619930125491732,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_02_add_address__20260714T205629Z,logistic_02_add_address,logistic,temporal_cv,True,False,False,False,True,onehot,standard,raw,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,288.6677952089958,2.4322062776785067,0.2734955493177622,0.5201669193473334,0.0686457244069832,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_03_add_cyclical__20260714T210223Z,logistic_03_add_cyclical,logistic,temporal_cv,True,True,False,False,True,onehot,standard,raw,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,352.8020500840066,2.4176491230826187,0.2758672450802323,0.5235293234662783,0.07364218727666,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_04_add_interactions__20260714T210851Z,logistic_04_add_interactions,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,387.49349629199423,2.410741144809553,0.2782239301100286,0.5272820066347439,0.0786372945153591,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_05_add_geo40__20260714T211531Z,logistic_05_add_geo40,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_cluster,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,398.1498308750015,2.4080462253371,0.2781488764466593,0.5274321139614825,0.0791669361724746,0.1,500.0,0.0001,saga,,,,,,,,,,,,,,,,,,,,,
logistic_c_0_01__20260715T194051Z,logistic_c_0_01,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,1170.7376471250027,2.4434272074210712,0.268842222188865,0.5175850733274291,0.0625020061634555,0.01,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_c_0_03__20260715T201636Z,logistic_c_0_03,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,1181.0359521250066,2.418500970165532,0.2744262147435416,0.524985364535643,0.0707225119994889,0.03,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_c_0_1__20260715T210211Z,logistic_c_0_1,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,2733.5623279589927,2.406293679897239,0.2791996277338296,0.5282126720605232,0.0794026938199367,0.1,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_c_0_3__20260715T212239Z,logistic_c_0_3,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,1227.1589767080004,2.4167693040126084,0.2767378675753164,0.5248052357435566,0.0842561314499373,0.3,750.0,0.0001,saga,0.0,,750.0,,,,,,,,,,,,,,,,,,
logistic_c_1_0__20260715T213600Z,logistic_c_1_0,logistic,temporal_cv,True,True,False,True,True,onehot,standard,raw_distances,40,10,True,12345,1,2003-01-06 00:01:00,2010-12-31 23:58:00,2011-01-01 00:01:00,2011-12-31 23:59:00,561676,66619,800.1099728330009,2.4587335409262976,0.2729401522088293,0.5163842147135201,0.0870473520540332,1.0,750.0,0.0001,saga,0.0,,489.0,,,,,,,,,,,,,,,,,,
