crime_category,precision,recall,f1_score,support,f1_rank
LARCENY/THEFT,0.3808774175691105,0.8335983643798274,0.5228573464105061,26412,1
MISSING PERSON,0.5374541644840231,0.3313953488372093,0.40999000999001,3096,2
OTHER OFFENSES,0.3246223196881092,0.38294050014371944,0.35137808255307923,13916,3
PROSTITUTION,0.2619047619047619,0.32217573221757323,0.28893058161350843,239,4
NON-CRIMINAL,0.2675231744999187,0.2515675179691084,0.2593001261034048,13078,5
DRUG/NARCOTIC,0.24104046242774566,0.23706651506537807,0.23903697334479793,3518,6
ASSAULT,0.21208599651365484,0.17018300501223918,0.18883787104701547,8579,7
VEHICLE THEFT,0.28933717579250723,0.10096540627514079,0.14969434918741614,4972,8
BURGLARY,0.2308522114347357,0.05224609375,0.08520804300218993,4096,9
FRAUD,0.5434782608695652,0.012309207287050714,0.02407318247472316,2031,10
WARRANTS,0.1673469387755102,0.008866782006920416,0.016841240501129597,4624,11
LIQUOR LAWS,0.3333333333333333,0.008620689655172414,0.01680672268907563,116,12
VANDALISM,0.24096385542168675,0.008255933952528379,0.015964877270005985,4845,13
RUNAWAY,0.05263157894736842,0.007352941176470588,0.012903225806451613,136,14
ROBBERY,0.2222222222222222,0.00644381796214257,0.012524461839530333,2483,15
FORGERY/COUNTERFEITING,0.2222222222222222,0.004024144869215292,0.007905138339920948,497,16
WEAPON LAWS,0.21428571428571427,0.0027548209366391185,0.005439709882139619,1089,17
TRESPASS,0.1111111111111111,0.0025157232704402514,0.004920049200492005,795,18
SUSPICIOUS OCC,0.0,0.0,0.0,3569,19
SECONDARY CODES,0.0,0.0,0.0,1301,19
STOLEN PROPERTY,0.0,0.0,0.0,677,19
"SEX OFFENSES, FORCIBLE",0.0,0.0,0.0,558,19
DRUNKENNESS,0.0,0.0,0.0,410,19
KIDNAPPING,0.0,0.0,0.0,335,19
DRIVING UNDER THE INFLUENCE,0.0,0.0,0.0,244,19
DISORDERLY CONDUCT,0.0,0.0,0.0,242,19
ARSON,0.0,0.0,0.0,184,19
EMBEZZLEMENT,0.0,0.0,0.0,99,19
FAMILY OFFENSES,0.0,0.0,0.0,46,19
BRIBERY,0.0,0.0,0.0,41,19
SUICIDE,0.0,0.0,0.0,35,19
LOITERING,0.0,0.0,0.0,28,19
BAD CHECKS,0.0,0.0,0.0,16,19
EXTORTION,0.0,0.0,0.0,16,19
"SEX OFFENSES, NON FORCIBLE",0.0,0.0,0.0,16,19
GAMBLING,0.0,0.0,0.0,9,19
TREA,0.0,0.0,0.0,2,19
PORNOGRAPHY/OBSCENE MAT,0.0,0.0,0.0,0,19
RECOVERED VEHICLE,0.0,0.0,0.0,0,19
